i0,learning,3485.0,9234
i0,random,3433.0,1250
i0,online,3452.0,3593
i0,exhaustive,3412.0,28046
i1,learning,2894.0,10656
i1,random,3855.0,1703
i1,online,3700.0,7375
i1,exhaustive,2800.0,32953
i2,learning,1835.0,6312
i2,random,8087.0,265
i2,online,3495.0,2484
i2,exhaustive,2141.0,21796
i3,learning,51.0,8562
i3,random,1376.0,562
i3,online,749.0,4531
i3,exhaustive,59.0,25734
i4,learning,72.0,3500
i4,random,720.0,828
i4,online,174.0,2828
i4,exhaustive,53.0,25093
i5,learning,59.0,3125
i5,random,781.0,546
i5,online,59.0,2546
i5,exhaustive,64.0,25906
i6,learning,1712.0,8062
i6,random,42475.0,3156
i6,online,42082.0,5062
i6,exhaustive,2721.0,38453
i7,learning,6556.0,12718
i7,random,55077.0,4203
i7,online,35842.0,6281
i7,exhaustive,2456.0,47906
i8,learning,5669.0,11000
i8,random,51300.0,4609
i8,online,39234.0,6156
i8,exhaustive,4553.0,47093
i9,learning,90371.0,35765
i9,random,96561.0,14562
i9,online,105757.0,9671
i9,exhaustive,36427.0,117500
i10,learning,2925.0,9968
i10,random,2890.0,1562
i10,online,4323.0,5515
i10,exhaustive,1965.0,34515
i11,learning,1796.0,8265
i11,random,5721.0,375
i11,online,3346.0,2390
i11,exhaustive,807.0,22390
