i0,learning,3551.0,11437
i0,random,3486.0,1281
i0,online,3422.0,6125
i0,exhaustive,3440.0,26640
i1,learning,4765.0,12500
i1,random,6227.0,1250
i1,online,3345.0,8234
i1,exhaustive,2605.0,35625
i2,learning,5905.0,8375
i2,random,6825.0,390
i2,online,2020.0,4578
i2,exhaustive,450.0,22000
i3,learning,43.0,8578
i3,random,607.0,671
i3,online,48.0,2828
i3,exhaustive,70.0,25343
i4,learning,50.0,8531
i4,random,496.0,687
i4,online,71.0,2812
i4,exhaustive,63.0,24906
i5,learning,66.0,5343
i5,random,295.0,843
i5,online,551.0,4515
i5,exhaustive,59.0,25750
i6,learning,2345.0,9406
i6,random,9742.0,3640
i6,online,31642.0,5203
i6,exhaustive,2284.0,37093
i7,learning,6638.0,12921
i7,random,11775.0,4937
i7,online,37578.0,5937
i7,exhaustive,2854.0,46812
i8,learning,8103.0,11906
i8,random,11927.0,5062
i8,online,39048.0,6015
i8,exhaustive,3773.0,45734
i9,learning,98020.0,35781
i9,random,71696.0,17812
i9,online,103769.0,8593
i9,exhaustive,31584.0,102656
i10,learning,3429.0,12015
i10,random,13282.0,1703
i10,online,1928.0,7890
i10,exhaustive,1810.0,29671
i11,learning,480.0,10171
i11,random,5895.0,281
i11,online,440.0,4546
i11,exhaustive,661.0,22093
